ID UPAKOVKA;MXIK;DATA;INN DISTRIBUTOR;INN KONTRAGENT;KOL-VO;PRICE;PRICE TYPE
AAAL464306;03004102002033003;27.08.2024;303303592;203380597;4;56803,04;UZS
AAAL464307;03004102002033003;27.08.2024;303303592;200476201;5;58560,32;UZS
AAAL464308;03004102002033003;27.08.2024;303303592;305682027;2;58560,32;UZS
AAAL464309;03004102002033003;28.08.2024;303303592;310102405;5;58560,32;UZS
AAAL464310;03004102002033001;02.07.2024;303303592;203837460;4;83657,28;UZS
AAAL464311;03004102002033001;02.07.2024;303303592;309857137;10;83657,28;UZS
AAAL464312;03004102002033001;03.07.2024;303303592;303369424;4;83657,28;UZS
AAAL464313;03004102002033001;03.07.2024;303303592;302936724;2;83657,28;UZS
AAAL464314;03004102002033001;04.07.2024;303303592;306984339;6;83657,28;UZS
AAAL464315;03004102002033001;04.07.2024;303303592;201723526;4;83657,28;UZS
AAAL464316;03004102002033001;04.07.2024;303303592;307115665;1;83657,28;UZS
AAAL464317;03004102002033001;08.07.2024;303303592;306123435;1;81147,36;UZS
AAAL464318;03004102002033001;08.07.2024;303303592;305619521;10;83657,28;UZS
AAAL464319;03004102002033001;08.07.2024;303303592;303084376;2;83657,28;UZS
AAAL464320;03004102002033001;09.07.2024;303303592;310998335;10;83657,28;UZS
AAAL464321;03004102002033001;09.07.2024;303303592;307115665;3;83657,28;UZS
AAAL464322;03004102002033001;09.07.2024;303303592;302324464;1;83657,28;UZS
AAAL464323;03004102002033001;09.07.2024;303303592;308025974;5;83657,28;UZS
AAAL464324;03004102002033001;10.07.2024;303303592;203607003;5;83657,28;UZS
AAAL464325;03004102002033001;10.07.2024;303303592;308456691;15;83657,28;UZS
AAAL464326;03004102002033001;10.07.2024;303303592;307017597;2;83657,28;UZS
AAAL464327;03004102002033001;12.07.2024;303303592;310574017;1;83657,28;UZS
AAAL464328;03004102002033001;15.07.2024;303303592;305492857;1;83657,28;UZS
AAAL464329;03004102002033001;16.07.2024;303303592;302089813;2;83657,28;UZS
AAAL464330;03004102002033001;16.07.2024;303303592;310944236;2;83657,28;UZS
AAAL464331;03004102002033001;16.07.2024;303303592;310489454;2;83657,28;UZS
AAAL464332;03004102002033001;17.07.2024;303303592;307998232;3;83657,28;UZS
AAAL464333;03004102002033001;17.07.2024;303303592;309714378;3;83657,28;UZS
AAAL464334;03004102002033001;18.07.2024;303303592;204339304;1;83657,28;UZS
AAAL464335;03004102002033001;19.07.2024;303303592;201494574;2;83657,28;UZS
AAAL464336;03004102002033001;25.07.2024;303303592;300821014;2;83657,28;UZS
AAAL464337;03004102002033001;29.07.2024;303303592;305655479;8;83657,28;UZS
AAAL464338;03004102002033001;30.07.2024;303303592;307998232;5;83657,28;UZS
AAAL464339;03004102002033001;31.07.2024;303303592;309334645;10;83657,28;UZS
AAAL464340;03004102002033001;31.07.2024;303303592;200888259;1;83657,28;UZS
AAAL464341;03004102002033001;31.07.2024;303303592;303918927;3;83657,28;UZS
AAAL464342;03004102002033001;01.08.2024;303303592;308456691;10;83657,28;UZS
AAAL464343;03004102002033001;12.08.2024;303303592;306611857;1;83657,28;UZS
AAAL464344;03004102002033001;13.08.2024;303303592;309055289;2;83657,28;UZS
AAAL464345;03004102002033001;13.08.2024;303303592;306781156;3;83657,28;UZS
AAAL464346;03004102002033001;13.08.2024;303303592;308201265;6;81147,36;UZS
AAAL464347;03004102002033001;13.08.2024;303303592;202229664;3;83657,28;UZS
AAAL464348;03004102002033001;13.08.2024;303303592;309912242;4;83657,28;UZS
AAAL464349;03004102002033001;13.08.2024;303303592;309912242;1;83657,28;UZS
AAAL464350;03004102002033001;28.08.2024;303303592;302703705;5;83657,28;UZS
AAAL464351;03004102002033001;28.08.2024;303303592;310102405;5;83657,28;UZS
AAAL464352;03004102002046001;02.07.2024;303303592;301329498;10;65044;UZS
AAAL464353;03004102002046001;04.07.2024;303303592;202861591;5;63092,96;UZS
AAAL464354;03004102002046001;04.07.2024;303303592;306784397;10;65044;UZS
AAAL464355;03004102002046001;09.07.2024;303303592;304849309;5;65044;UZS
AAAL464356;03004102002046001;10.07.2024;303303592;204183002;4;65044;UZS
AAAL464357;03004102002046001;11.07.2024;303303592;200263499;9;65044;UZS
AAAL464358;03004102002046001;15.07.2024;303303592;310345070;2;65044;UZS
AAAL464359;03004102002046001;25.07.2024;303303592;200129860;20;63092,96;UZS
AAAL464360;03004102002046001;29.07.2024;303303592;308456691;5;65044;UZS
AAAL464361;03004102002046001;29.07.2024;303303592;308713055;4;65044;UZS
AAAL464362;03004102002046001;29.07.2024;303303592;303845726;5;65044;UZS
AAAL464363;03004102002046001;29.07.2024;303303592;308792742;4;65044;UZS
AAAL464364;03004102002046001;29.07.2024;303303592;311238789;5;65044;UZS
AAAL464365;03004102002046001;29.07.2024;303303592;202996369;3;65044;UZS
AAAL464366;03004102002046001;30.07.2024;303303592;304309970;2;65044;UZS
AAAL464367;03004102002046001;30.07.2024;303303592;305611952;10;65044;UZS
AAAL464368;03004102002046001;30.07.2024;303303592;305909936;2;65044;UZS
AAAL464369;03004102002046001;30.07.2024;303303592;310179626;2;65044;UZS
AAAL464370;03004102002046001;30.07.2024;303303592;201135839;2;65044;UZS
AAAL464371;03004102002046001;30.07.2024;303303592;307998232;5;65044;UZS
AAAL464372;03004102002046001;30.07.2024;303303592;302001083;10;65044;UZS
AAAL464373;03004102002046001;31.07.2024;303303592;200418027;13;65044;UZS
AAAL464374;03004102002046001;31.07.2024;303303592;301593662;5;65044;UZS
AAAL464375;03004102002046001;31.07.2024;303303592;307998232;1;65044;UZS
AAAL464376;03004102002046001;31.07.2024;303303592;301091583;4;65044;UZS
AAAL464377;03004102002046001;31.07.2024;303303592;309983242;10;65044;UZS
AAAL464378;03004102002046001;31.07.2024;303303592;200125179;5;65044;UZS
AAAL464379;03004102002046001;31.07.2024;303303592;201505607;5;65044;UZS
AAAL464380;03004102002046001;01.08.2024;303303592;308456691;20;65044;UZS
AAAL464381;03004102002046001;12.08.2024;303303592;308187670;2;65044;UZS
AAAL464382;03004102002046001;12.08.2024;303303592;305776067;2;65044;UZS
AAAL464383;03004102002046001;12.08.2024;303303592;300349553;3;65044;UZS
AAAL464384;03004102002046001;12.08.2024;303303592;309132880;4;65044;UZS
AAAL464385;03004102002046001;12.08.2024;303303592;202633954;4;65044;UZS
AAAL464386;03004102002046001;13.08.2024;303303592;310895338;5;65044;UZS
